#,English/Russian,POS,Level,Serbian
1836,original / оригинальный,"Adjective , Noun","A2, B1",оригиналан
1837,originally / оригинальный,Adverb,B1,оригинално
1838,other / секунда,Adjective /proNoun,A1,други
1839,otherwise / в противном случае,Adverb,B2,иначе
1840,ought / должен иметь,modal Verb,B1,trebalo
1841,our / наш,det.,A1,наш
1842,ours / наш,proNoun,B1,наш
1843,ourselves / один и,proNoun,A2,сами
1844,out / вне,Adverb /prep.,A1,напоље
1845,outcome / исход,Noun,B2,исход
1846,outdoor / в открытую,Adjective,B1,на отвореном
1847,outdoors / в поле,Adverb,B1,напољу
1848,outer / внешний,Adjective,B2,спољашњи
1849,outline / контур,Noun Verb,B2,контура
1850,outside / в поле,"Adverb , prep. nouNoun Adjective","A1, A2",напољу
1851,oven / печь,Noun,A2,пећ
1852,over / через,prep. Adverb,A1,преко
1853,overall / вообще,Adjective Adverb,B2,уопште
1854,owe / Быть должным,Verb,B2,дуговати
1855,own / собственный,"Adjective /proNoun, Verb","A1, A2",властити
1856,owner / владелец,Noun,A2,власник
1857,pace / темп,"Noun, Verb",B2,темпо
1858,pack / упаковка,"Verb , Noun","A2, B1",паковање
1859,package / упаковка,"Noun, Verb","B1, B2",пакет
1860,page / сторона,Noun,A1,страна
1861,pain / боль,Noun,A2,бол
1862,painful / болезненный,Adjective,B1,болан
1863,paint / цвет,Verb Noun,A1,боја
1864,painter / художник,Noun,A2,сликар
1865,painting / картина,Noun,A1,слика
1866,pair / Пара,Noun,A1,пар
1867,palace / дворец,Noun,A2,палата
1868,pale / Бледный,Adjective,B1,Блед
1869,pan / Сковорода,Noun,B1,тигањ
1870,panel / доска,Noun,B2,табла
1871,pants / брюки,Noun,A2,панталоне
1872,paper / бумага,Noun,A1,папир
1873,paragraph / отношение,Noun,A1,став
1874,parent / родитель,Noun,A1,родитељ
1875,park / парк,Noun Verb,A1,парк
1876,parking / стоянка,Noun,A2,паркирање
1877,parliament / парламент,Noun,B2,парламент
1878,part / часть,Noun,A1,део
1879,participant / участник,Noun,B2,учесник
1880,participate / принимать участие,Verb,B1,учествовати
1881,particular / специальный,Adjective,A2,посебан
1882,particularly / особенно,Adverb,B1,нарочито
1883,partly / частично,Adverb,B2,делимично
1884,partner / Приятель,Noun,A1,ортак
1885,party / партия,Noun,A1,журка
1886,pass / пройти мимо,"Verb , Noun","A2, B1",проћи
1887,passage / проход,Noun,B2,пролаз
1888,passenger / пассажир,Noun,A2,путник
1889,passion / страсть,Noun,B1,страст
1890,passport / заграничный пасспорт,Noun,A1,пасош
1891,past / прошлое,"Adjective Noun prep., Adverb","A1, A2",прошлост
1892,path / дорожка,Noun,B1,путања
1893,patient / пациент,"Noun, Adjective","A2, B2",пацијент
1894,pattern / шаблон,Noun,A2,шаблон
1895,pay / зарплата,"Verb , Noun","A1, A2",плата
1896,payment / оплата,Noun,B1,плаћање
1897,peace / мир,Noun,A2,мир
1898,peaceful / спокойствие,Adjective,B1,миран
1899,pen / ручка,Noun,A1,хемијска оловка
1900,pencil / карандаш,Noun,A1,оловка
1901,penny / Пенни,Noun,A2,пени
1902,pension / пенсия,Noun,B2,пензија
1903,people / люди,Noun,A1,људи
1904,pepper / перец,Noun,A1,бибер
1905,per / по,prep.,A2,по
1906,per cent / процент,Noun Adjective /Adverb,A2,проценат
1907,percentage / процент,Noun,B1,проценат
1908,perfect / идеально,Adjective,A1,савршено
1909,perfectly / идеально,Adverb,B1,савршено
1910,perform / выполнять,Verb,A2,извршити
1911,performance / производительность,Noun,B1,перформансе
1912,perhaps / Может быть,Adverb,A2,можда
1913,period / период,Noun,A1,раздобље
1914,permanent / постоянный,Adjective,B2,стални
1915,permission / разрешение,Noun,A2,дозвола
1916,permit / разрешение,Verb Noun,B2,дозвола
1917,person / лицо,Noun,A1,лице
1918,personal / личный,Adjective,A1,лични
1919,personality / личность,Noun,A2,личност
1920,personally / лично,Adverb,B1,лично
1921,perspective / перспектива,Noun,B2,перспектива
1922,persuade / убеждать,Verb,B1,убедити
1923,pet / Домашний питомец,Noun,A2,Кућни љубимац
1924,petrol / бензин,Noun,A2,бензин
1925,phase / фаза,Noun,B2,фаза
1926,phenomenon / явление,Noun,B2,феномен
1927,philosophy / философия,Noun,B2,философија
1928,phone / Телефон,Noun Verb,A1,телефон
1929,photo / картина,Noun,A1,слика
1930,photograph / фотография,"Noun, Verb","A1, A2",fotografija
1931,photographer / фотограф,Noun,B1,фотограф
1932,photography / фотография,Noun,B1,фотографија
1933,phrase / фраза,Noun,A1,фраза
1934,physical / физически,Adjective,A2,физички
1935,physics / государство,Noun,A2,стање
1936,piano / пианино,Noun,A1,клавир
1937,pick / Выбрать,"Verb , Noun","A2, B2",одабрати
1938,picture / картина,"Noun, Verb","A1, B2",слика
1939,piece / кусок,Noun,A1,комад
1940,pig / свинья,Noun,A1,свиња
1941,pile / куча,Noun Verb,B2,гомила
1942,pilot / пилот,Noun,A2,пилот
1943,pin / иголка,Noun Verb,B1,игла
1944,pink / розовый,Adjective Noun,A1,розе
1945,pipe / трубка,Noun,B1,цев
1946,pitch / высота тона,Noun,B2,висина тона
1947,place / место,Noun Verb,"A1, B1",место
1948,plain / обычный,Adjective,B2,обичан
1949,plan / План,Noun Verb,A1,план
1950,plane / самолет,Noun,A1,авион
1951,planet / планета,Noun,A2,Планета
1952,planning / планирование,Noun,B1,планирање
1953,plant / завод,Noun Verb,"A1, A2",биљка
1954,plastic / пластик,Noun Adjective,A2,пластика
1955,plate / тарелка,Noun,A2,тањир
1956,platform / Платформа,Noun,A2,платформа
1957,play / игра,Verb Noun,A1,игра
1958,player / игрок,Noun,A1,играч
1959,pleasant / приятный,Adjective,B1,пријатан
1960,please / пожалуйста,"exclam., Verb","A1, A2",Молимо вас
1961,pleased / доволен,Adjective,A2,задовољан
1962,pleasure / удовольствие,Noun,B1,задовољство
1963,plenty / много,proNoun,B1,много
1964,plot / земельные участки,"Noun, Verb","B1, B2",земљиште
1965,plus / более,"prep., Adjective conj., Noun","B1, B2",више
1966,pocket / карман,Noun,A2,џеп
1967,poem / песня,Noun,B1,песма
1968,poet / поэт,Noun,B1,песник
1969,poetry / поэзия,Noun,B1,поезија
1970,point / точка,"Noun, Verb","A1, B1",тачка
1971,pointed / едкий,Adjective,B2,заједљив
1972,poison / яд,Noun Verb,B1,отров
1973,poisonous / отравлен,Adjective,B1,отрован
1974,police / Полиция,Noun,A1,полиција
1975,policeman / полицейский,Noun,A1,полицајац
1976,policy / политика,Noun,B1,политика
1977,polite / вежливый,Adjective,A2,учтив
1978,political / политический,Adjective,B1,политички
1979,politician / политик,Noun,B1,политичар
1980,politics / политика,Noun,B1,политика
1981,pollution / загрязнение,Noun,A2,загађење
1982,pool / Бассейн,Noun,A1,базен
1983,poor / бедный,Adjective,A1,сиромашан
1984,pop / священник,Noun Adjective,A2,поп
1985,popular / популярный,Adjective,A1,популаран
1986,popularity / популярность,Noun,B2,популарност
1987,population / Население,Noun,A2,Популација
1988,port / Порт,Noun,B1,Лука
1989,portrait / портрет,Noun,B1,портрет
1990,pose / поза,Verb,B2,поза
1991,position / должность,"Noun, Verb","A2, B2",положај
1992,positive / положительный,"Adjective , Noun","A1, B2",позитиван
1993,possess / владеть,Verb,B2,поседовати
1994,possession / владение,Noun,A2,поседовање
1995,possibility / возможность,Noun,A2,могућност
1996,possible / возможный,Adjective,A1,могућ
1997,possibly / возможный,Adverb,B1,могуће
1998,post / Почта,Noun Verb,A1,пошта
1999,poster / плакат,Noun,A2,плакат
2000,pot / горшок,Noun,B1,лонац
2001,potato / картошка,Noun,A1,кромпир
2002,potential / потенциал,Adjective Noun,B2,потенцијал
2003,pound / фунт,Noun,A1,фунта
2004,pour / налить,Verb,B1,сипати
2005,poverty / бедность,Noun,B1,сиромаштво
2006,powder / пудра,Noun,B1,прах
2007,power / сила,"Noun, Verb","A2, B2",снага
2008,powerful / мощный,Adjective,B1,моћна
2009,practical / практичный,Adjective,B1,практичан
2010,practice / упражняться,Noun,A1,пракса
2011,practise / упражняться,Verb,A1,пракса
2012,praise / хвалить,Noun Verb,B2,похвала
2013,pray / молиться,Verb,B1,молите се
2014,prayer / молитва,Noun,B1,молитва
2015,predict / предсказывать,Verb,A2,предвидети
2016,prediction / прогноз,Noun,B1,предвиђање
2017,prefer / предпочитать,Verb,A1,више волети
2018,pregnant / беременная,Adjective,B2,трудна
2019,preparation / подготовка,Noun,B2,припрема
2020,prepare / подготовить,Verb,A1,припремити
2021,prepared / готовый,Adjective,B1,припремљен
2022,presence / присутствие,Noun,B2,присуство
2023,present / подарок,"Adjective Noun, Verb","A1, A2",поклон
2024,presentation / презентация,Noun,B1,презентација
2025,preserve / спасти,Verb,B2,сачувати
2026,president / Президент,Noun,A2,председник
2027,press / пресс,Verb Noun,B1,преса
2028,pressure / давление,Noun,B1,притисак
2029,pretend / притворяться,Verb,B1,претварати се
2030,pretty / довольно много,Adjective Adverb,A1,прилично
2031,prevent / Предотвращать,Verb,A2,Превент
2032,previous / Предыдущий,Adjective,B1,Претходна
2033,previously / ранее,Adverb,B1,раније
2034,price / Цена,"Noun, Verb","A1, B2",Цена
2035,priest / священник,Noun,B1,свештеник
2036,primary / Начальный,Adjective,B1,Примарна
2037,prime / главный,Adjective,B2,главни
2038,prince / принц,Noun,B1,принц
2039,princess / принцесса,Noun,B1,принцеза
2040,principle / принцип,Noun,B2,принцип
2041,print / Распечатать,"Verb , Noun","A2, B2",принт
2042,printer / принтер,Noun,A2,штампач
2043,printing / печать,Noun,B1,штампање
2044,priority / приоритет,Noun,B2,приоритет
2045,prison / тюрьма,Noun,A2,затвор
2046,prisoner / заключенный,Noun,B1,затвореник
2047,privacy / Конфиденциальность,Noun,B2,приватност
2048,private / частный,Adjective,B1,приватно
2049,prize / награда,Noun,A2,награда
2050,probably / вероятно,Adverb,A1,вероватно
2051,problem / проблема,Noun,A1,проблем
2052,procedure / процедура,Noun,B2,процедура
2053,process / процесс,"Noun, Verb","A2, B2",процес
2054,produce / товары,"Verb , Verb","A2, B2",производи
2055,producer / режиссер,Noun,B1,продуцент
2056,product / товар,Noun,A1,производ
2057,production / производство,Noun,B1,производња
2058,profession / профессия,Noun,B1,професија
2059,professional / профессиональный,"Adjective , Noun","A2, B2",професионалац
2060,professor / профессор,Noun,A2,професор
2061,profile / профиль,Noun,A2,профил
2062,profit / прирост,Noun,B1,добит
2063,program / программа,"Noun, Verb","A2, B1",програм
2064,programme / программа,Noun,A1,програм
2065,progress / прогресс,"Noun, Verb","A2, B2",напредак
2066,project / проект,"Noun, Verb","A1, B2",пројекат
2067,promise / Обещание,Verb Noun,A2,обећање
2068,promote / продвигать,Verb,B1,унапредити
2069,pronounce / они произносят,Verb,A2,изговарају
2070,proof / доказательство,Noun,B2,доказ
2071,proper / реальность,Adjective,B1,прави
2072,properly / правильно,Adverb,B1,прописно
2073,property / имущество,Noun,B1,својство
2074,proposal / предложение,Noun,B2,предлог
2075,propose / рекомендовать,Verb,B2,предложити
2076,prospect / внешность,Noun,B2,изглед
2077,protect / защищать,Verb,A2,заштитити
2078,protection / защита,Noun,B2,заштита
2079,protest / Протест,Noun Verb,B1,Протест
2080,proud / гордый,Adjective,B1,поносан
2081,prove / чтобы доказать,Verb,B1,доказати
2082,provide / предоставлять,Verb,A2,обезбедити
2083,psychologist / психолог,Noun,B2,психолог
2084,psychology / психология,Noun,B2,психологија
2085,pub / паб,Noun,A2,паб
2086,public / Публика,Adjective Noun,A2,јавност
2087,publication / публикация,Noun,B2,публикација
2088,publish / публиковать,Verb,A2,објавити
2089,pull / тянуть,"Verb , Noun","A2, B1",повући
2090,punish / наказывать,Verb,B1,казнити
2091,punishment / наказание,Noun,B1,казна
2092,pupil / ученик,Noun,B2,ученик
2093,purchase / поход по магазинам,Noun Verb,B2,куповина
2094,pure / чистый,Adjective,B2,чист
2095,purple / пурпурный,Adjective Noun,A1,љубичаста
2096,purpose / цель,Noun,A2,сврха
2097,pursue / преследовать,Verb,B2,гонити
2098,push / толкание,"Verb , Noun","A2, B1",гурање
2099,put / помещать,Verb,A1,ставити
2100,qualification / квалификация,Noun,B1,квалификација
2101,qualified / квалифицированный,Adjective,B1,квалификован
2102,qualify / квалифицировать,Verb,B1,квалификовати
2103,quality / качественный,Noun,A2,квалитет
2104,quantity / количество,Noun,A2,количина
2105,quarter / одна четверть,Noun,A1,четвртина
2106,queen / Королева,Noun,A2,краљица
2107,question / вопрос,"Noun, Verb","A1, A2",питање
2108,queue / строка,Noun Verb,B1,ред
2109,quick / быстро,Adjective,A1,брз
2110,quickly / быстро,Adverb,A1,брзо
2111,quiet / спокойствие,Adjective,A1,миран
2112,quietly / тихо,Adverb,A2,тихо
2113,quit / Сдаться,Verb,B1,одустати
2114,quite / довольно много,Adverb,A1,прилично
2115,quotation / цитата,Noun,B1,цитат
2116,quote / цитата,Verb Noun,B1,цитат
2117,race (competition) / гонка (соревнование),NounVerb,A2,трка (такмичење)
2118,race (people) / раса (люди),Noun,B1,трка (људи)
2119,racing / гонки,Noun,B1,трке
2120,radio / радио,Noun,A1,радио
2121,railway / Железнодорожный,Noun,A2,железница
2122,rain / дождь,Noun Verb,A1,киша
2123,raise / поднимать,Verb,A2,подићи
2124,range / достигать,"Noun, Verb","B1, B2",домет
2125,rank / действовать,Noun Verb,B2,чин
2126,rapid / быстро,Adjective,B2,брз
2127,rapidly / быстро,Adverb,B2,брзо
2128,rare / линия,Adjective,B1,редак
2129,rarely / редко,Adverb,B1,ретко
2130,rate / Оценивать,"Noun, Verb","A2, B2",стопа
2131,rather / предпочли бы,Adverb,A2,радије
2132,raw / сырой,Adjective,B2,сиров
2133,reach / достигать,"Verb , Noun","A2, B2",домет
2134,react / реагировать,Verb,A2,реаговати
2135,reaction / реакция,Noun,B1,реакција
2136,read / читать,Verb,A1,читати
2137,reader / читатель,Noun,A1,читач
2138,reading / чтение,Noun,A1,читање
2139,ready / готовы,Adjective,A1,спреман
2140,real / реальность,Adjective,A1,прави
2141,realistic / реалистичный,Adjective,B2,реалистичан
2142,reality / реальность,Noun,B1,реалност
2143,realize / понять,Verb,A2,схватити
2144,really / В самом деле,Adverb,A1,стварно
2145,reason / причина,Noun,A1,разлог
2146,reasonable / разумный,Adjective,B2,разуман
2147,recall / Возвращаться,Verb,B2,поврат
2148,receipt / чек,Noun,B1,признаница
2149,receive / получать,Verb,A2,примити
2150,recent / недавний,Adjective,A2,скорашњи
2151,recently / совсем недавно,Adverb,A2,недавно
2152,reception / прием,Noun,A2,пријем
2153,recipe / рецепт,Noun,A2,рецепт
2154,recognize / распознавать,Verb,A2,препознати
2155,recommend / рекомендовать,Verb,A2,препоручити
2156,recommendation / рекомендация,Noun,B1,препорука
2157,record / записывать,Noun Verb,A2,запис
2158,recording / Запись,Noun,A2,снимање
2159,recover / восстановить,Verb,B2,опоравити се
2160,recycle / для переработки,Verb,A2,за рециклажу
2161,red / красный,Adjective Noun,A1,црвен
2162,reduce / уменьшать,Verb,A2,смањити
2163,reduction / снижение,Noun,B2,смањење
2164,refer / Ссылаться на,Verb,A2,односити се
2165,reference / направления,Noun,B1,упућивање
2166,reflect / отражать,Verb,B1,одразити
2167,refuse / мусор,Verb,A2,одбити
2168,regard / рассмотрение,Verb Noun,B2,обзир
2169,"region / область, край",Noun,A2,регија
2170,regional / региональный,Adjective,B2,regionalni
2171,register / регистр,Verb Noun,B2,регистровати
2172,regret / сожалеть,Verb Noun,B2,жаљење
2173,regular / на регулярной основе,Adjective,A2,редовно
2174,regularly / регулярно,Adverb,B1,регуларно
2175,regulation / регулирование,Noun,B2,регулација
2176,reject / мусор,Verb,B1,одбити
2177,relate / связи,Verb,B1,односе
2178,related / связано,Adjective,B1,повезан
2179,relation / отношение,Noun,B1,однос
2180,relationship / отношение,Noun,A2,однос
2181,relative / родственник,Adjective Noun,B1,релативан
2182,relatively / относительно,Adverb,B2,релативно
2183,relax / расслабляться,Verb,A1,опусти се
2184,relaxed / расслабленный,Adjective,B1,опуштена
2185,relaxing / расслабляющий,Adjective,B1,релакинг
2186,release / версия,Verb Noun,B1,издање
2187,relevant / актуальны,Adjective,B2,релевантан
2188,reliable / надежный,Adjective,B1,поуздан
2189,relief / рельеф,Noun,B2,рељеф
2190,religion / религия,Noun,B1,религија
2191,religious / религиозный,Adjective,B1,верски
2192,rely / полагаться на,Verb,B2,ослонити
2193,remain / остаться,Verb,B1,остати
2194,remark / замечание,Noun Verb,B2,примедба
2195,remember / помнить,Verb,A1,запамтити
2196,remind / напоминать,Verb,B1,подсетити
2197,remote / удаленно,Adjective,B1,даљински
2198,remove / Удалять,Verb,A2,Уклонити
2199,rent / рента,Noun Verb,B1,кирија
2200,repair / ремонт,"Verb , Noun","A2, B1",поправка
2201,repeat / репетиция,"Verb , Noun","A1, B1",понављање
2202,repeated / повторный,Adjective,B1,поновљен
2203,replace / заменять,Verb,A2,заменити
2204,reply / Ответить,Verb Noun,A2,Одговорити
2205,report / Отчет,"Noun, Verb","A1, A2",извештај
2206,reporter / репортер,Noun,A2,репортер
2207,represent / представлять,Verb,B1,заступати
2208,representative / представитель,Noun Adjective,B2,представник
2209,reputation / репутация,Noun,B2,углед
2210,request / запрос,"Noun, Verb","A2, B1",захтев
2211,require / требовать,Verb,B1,захтевати
2212,requirement / условие,Noun,B2,услов
2213,rescue / спасать,Verb Noun,B2,спашавање
2214,research / исследовательская работа,Noun Verb,A2,истраживање
2215,researcher / Исследователь,Noun,A2,истраживач
2216,reservation / бронирование,Noun,B1,резервација
2217,reserve / резерв,Noun Verb,B2,резерва
2218,resident / житель,NounAdjective,B2,резидент
2219,resist / сопротивляться,Verb,B2,одолети
2220,resolve / решимость,Verb,B2,одлучност
2221,resort / прибегнуть,Noun,B2,ресорт
2222,resource / ресурс,Noun,B1,ресурс
2223,respect / уважать,Noun Verb,B1,поштовати
2224,respond / реагирует,Verb,A2,реагује
2225,response / ответ,Noun,A2,одговор
2226,responsibility / обязанность,Noun,B1,одговорност
2227,responsible / ответственный,Adjective,B1,одговоран
2228,rest (remaining part) / остальное (оставшаяся часть),Noun,A2,рест (преостали део)
2229,rest (sleep/relax) / отдых (сон/отдых),Noun Verb,A2,Остатак (сан / релак)
2230,restaurant / Ресторан,Noun,A1,Ресторан
2231,result / принести,"Noun, Verb","A1, B1",довести
2232,retain / хранить,Verb,B2,задржати
2233,retire / выходить на пенсию,Verb,B1,пензионисати
2234,retired / на пенсии,Adjective,B1,пензионисан
2235,return / возвращаться,Verb Noun,A1,повратак
2236,reveal / открывать,Verb,B2,открити
2237,review / обзор,Noun Verb,A2,преглед
2238,revise / пересмотреть,Verb,B1,поново испитати
2239,revolution / революция,Noun,B2,револуција
2240,reward / награда,Noun Verb,B2,награда
2241,rhythm / ритм,Noun,B2,ритам
2242,rice / рис,Noun,A1,пиринач
2243,rich / богатый,Adjective,A1,богат
2244,rid / вырваться на свободу,Verb,B2,ослободити
2245,ride / вождение,"Verb , Noun","A1, A2",вожња
2246,right / Правильно,Adjective Adverb Noun,A1,јел тако
2247,ring / кольцо,Noun,A2,ринг
2248,ring / кольцо,"Verb , Noun","A2, B1",ринг
2249,rise / расти,"Verb , Noun","A2, B1",расти
2250,risk / риск,Noun Verb,B1,ризик
2251,river / река,Noun,A1,река
2252,road / дорога,Noun,A1,пут
2253,robot / роботизированный,Noun,B1,роботски
2254,rock (stone) / скала (камень),Noun,A2,рок (камен)
2255,rock (music) / рок музыка),Noun,A2,рок музика)
2256,role / роль,Noun,A2,улога
2257,roll / рулон,Verb Noun,B1,ролна
2258,romantic / романтик,Adjective,B1,романтичан
2259,roof / крыша,Noun,A2,кров
2260,room / комната,Noun,A1,соба
2261,root / Корень,Noun,B2,корен
2262,rope / веревка,Noun,B1,конопац
2263,rough / грубый,Adjective,B1,груб
2264,round / круглый,"Adjective Adverb prep., Noun","A2, B2",круг
2265,route / маршрут,Noun,A2,рута
2266,routine / рутина,"Noun, Adjective","A1, B2",рутина
2267,row / строка,Noun,B1,ред
2268,royal / королевский,Adjective,B1,краљевски
2269,rub / р,Verb,B2,р
2270,rubber / резина,Noun Adjective,B2,гума
2271,rubbish / бред какой то,Noun,A2,глупости
2272,rude / грубый,Adjective,A2,непристојан
2273,rugby / регби,Noun,B1,рагби
2274,rule / правило,"Noun, Verb","A1, B1",правило
2275,run / бежать,"Verb , Noun","A1, A2",трцати
2276,runner / бегун,Noun,A2,тркач
2277,running / Бег,Noun,A2,руннинг
2278,rural / деревенский,Adjective,B2,сеоски
2279,rush / порыв,Verb Noun,B2,навала
2280,sad / грустный,Adjective,A1,тужан
2281,sadly / К сожалению,Adverb,A2,нажалост
2282,safe / Безопасно,Adjective,A2,безбедан
2283,safety / безопасность,Noun,B1,безбедност
2284,sail / плыть,"Verb , Noun","A2, B1",једро
2285,sailing / парусный спорт,Noun,A2,једрење
2286,sailor / матрос,Noun,B1,морнар
2287,salad / салат,Noun,A1,салата
2288,salary / зарплата,Noun,A2,плата
2289,sale / Распродажа,Noun,A2,продаја
2290,salt / так,Noun,A1,со
2291,same / одинаковый,Adjective proNoun Adverb,A1,исти
2292,sample / образец,"Noun, Verb","B1, B2",узорак
2293,sand / песок,Noun,B1,песак
2294,sandwich / бутерброд,Noun,A1,сендвич
2295,satellite / спутник,Noun,B2,сателит
2296,satisfied / доволен,Adjective,B2,задовољан
2297,satisfy / угодить,Verb,B2,задовољити
2298,Saturday / Суббота,Noun,A1,субота
2299,sauce / соус,Noun,A2,сос
2300,save / спасти,Verb,A2,сачувати
2301,saving / сбережения,Noun,B2,уштеда
2302,say / скажем,Verb,A1,рецимо
2303,scale / Шкала,Noun,B2,Скала
2304,scan / сканирование,Verb,B1,скенирати
2305,scared / напугана,Adjective,A2,сцаред
2306,scary / ужасный,Adjective,A2,страховит
2307,scene / сцена,Noun,A2,сцена
2308,schedule / расписание,"Noun, Verb","A2, B2",распоред
2309,scheme / схема,Noun,B2,шема
2310,school / школа,Noun,A1,школа
2311,science / Наука,Noun,A1,Наука
2312,scientific / научный,Adjective,B1,научни
2313,scientist / ученый,Noun,A1,научник
2314,score / счет,Verb Noun,A2,скор
2315,scream / крик,Verb Noun,B2,вриштати
2316,screen / экран,NounVerb,"A2, B2",екран
2317,script / сценарий,Noun,B1,скрипта
2318,sculpture / скульптура,Noun,B1,скулптура
2319,sea / море,Noun,A1,море
2320,search / Поиск,Noun Verb,A2,Претрага
2321,season / время года,Noun,A2,годишње доба
2322,seat / головной офис,Noun Verb,"A2, B2",седиште
2323,second1 (next after the first) / второй1 (сразу после первого),"et./ number, Adverb","A1, A2",сецонд1 (одмах након првог)
2324,second1 (unit of time) / секунда1 (единица времени),Noun,A1,сецонд1 (јединица времена)
2325,secondary / вторичный,Adjective,B1,сецондари
2326,secondly / Другой,Adverb,A2,друго
2327,secret / секрет,"Adjective, Noun",A2,тајна
2328,secretary / секретарь,Noun,A2,секретар
2329,section / раздел,Noun,A1,одељак
2330,sector / сектор,Noun,B2,сектор
2331,secure / безопасный,Verb Adjective,B2,осигурати
2332,security / безопасность,Noun,B1,безбедност
2333,see / увидеть,Verb,A1,видети
2334,seed / семя,Noun,B1,семе
2335,seek / ищи,Verb,B2,тражити
2336,seem / смотреть,Verb,A2,изгледати
2337,select / Выбрать,Verb,B2,одабрати
2338,selection / выбор,Noun,B2,избор
2339,self / один,Noun,B2,сам
2340,sell / продавать,Verb,A1,продам
2341,send / Отправлять,Verb,A1,пошаљи
2342,senior / висит,Adjective,B2,виши
2343,sense / значение,Noun Verb,"A2, B2",смисао
2344,sensible / разумный,Adjective,B1,разуман
2345,sensitive / чувствительный,Adjective,B2,осетљив
2346,sentence / предложение,Noun Verb,"A1, B2",реченица
2347,separate / отдельный,"Adjective, Verb","A2, B1",засебан
2348,September / Сентябрь,Noun,A1,септембар
2349,sequence / нить,Noun,B2,низ
2350,series / серии,Noun,A2,серија
2351,serious / серьезный,Adjective,A2,озбиљан
2352,seriously / серьезно,Adverb,B1,озбиљно
2353,servant / слуга,Noun,B1,слуга
2354,serve / служить,Verb,A2,служити
2355,service / оказание услуг,Noun,A2,сервис
2356,session / сеанс,Noun,B2,седница
2357,set (put) / установить (путь),Verb,B1,Сет (Пут)
2358,set (group) / набор (группа),Noun,B1,сет (гроуп)
2359,setting / параметр,Noun,B1,подешавање
2360,settle / Решить,Verb,B2,Сеттле
2361,seven / Семь,number,A1,седам
2362,seventeen / семнадцать,number,A1,седамнаесторо
2363,seventy / семьдесят,number,A1,седамдесет
2364,several / более,det./proNoun,A2,више
2365,severe / серьезный,Adjective,B2,озбиљан
2366,sex / секс,Noun,B1,секс
2367,sexual / полный,Adjective,B1,полни
2368,shade / Сенна,Noun,B2,Сена
2369,shadow / тень,Noun,B2,сенка
2370,shake / встряхнуть,Verb Noun,"A2, B1",мућкати
2371,shall / Я буду,modal Verb,A2,ћу
2372,shallow / мелкий,Adjective,B2,плитак
2373,shame / стыд,Noun,B2,срамота
2374,shape / форма,Noun Verb,"A2, B2",облик
2375,share / Публиковать,Verb Noun,"A1, B1",Објави
2376,sharp / острый,Adjective,B1,оштар
2377,she / она,proNoun,A1,она
2378,sheep / овца,Noun,A1,овца
2379,sheet / лист,Noun,A2,лист
2380,shelf / полка,Noun,B1,полица
2381,shell / оболочка,Noun,B1,шкољка
2382,shelter / приют,Noun Verb,B2,склониште
2383,shift / сдвиг,Noun Verb,"B1, B2",смена
2384,shine / светить,Verb,B1,сјај
2385,shiny / большой,Adjective,B1,сјајан
2386,ship / судно,Noun Verb,"A2, B2",брод
2387,shirt / рубашка,Noun,A1,кошуља
2388,shock / шок,Noun Verb,B2,шок
2389,shocked / потрясенный,Adjective,B2,шокиран
2390,shoe / ботинок,Noun,A1,ципела
2391,shoot / Стрелять,Verb,B1,Пуцај
2392,shooting / стрельба,Noun,B2,пуцање
2393,shop / магазин,Noun Verb,A1,продавница
2394,shopping / поход по магазинам,Noun,A1,шопинг
2395,short / короткая,Adjective,A1,кратак
2396,shot / выстрел,Noun,B2,пуцањ
2397,should / должен,modal Verb,A1,требало би
2398,shoulder / плечо,Noun,A2,раме
2399,shout / восклицание,Verb Noun,A2,узвик
2400,show / Показывать,Verb Noun,A1,Прикажи
2401,shower / душ,Noun,A1,туш
2402,shut / закрыто,Verb Adjective,A2,затворена
2403,shy / застенчивый,Adjective,B1,стидљив
2404,sick / больной,Adjective,A1,болестан
2405,side / сторона,Noun,A2,страна
2406,sight / сцена,Noun,B1,призор
2407,sign / знак,Noun Verb,A2,знак
2408,signal / знак,Noun Verb,B1,знак
2409,significant / значительный,Adjective,B2,значајан
2410,significantly / существенно,Adverb,B2,значајно
2411,silence / тишина,Noun,B2,тишина
2412,silent / нет,Adjective,B1,нем
2413,silk / шелк,Noun,B2,свила
2414,silly / глупый,Adjective,B1,глуп
2415,silver / Серебряный,Noun Adjective,A2,сребро
2416,similar / похожий,Adjective,A1,сличан
2417,similarity / сходство,Noun,B1,сличност
2418,similarly / Сходным образом,Adverb,B1,слично
2419,simple / просто,Adjective,A2,једноставан
2420,simply / просто,Adverb,B1,просто
2421,since / От,"prep. conj., Adverb","A2, B1",Од
2422,sincere / искренний,Adjective,B2,искрен
2423,sing / Петь,Verb,A1,Синг
2424,singer / певец,Noun,A1,певач
2425,singing / пение,Noun,A2,певање
2426,single / один,Adjective Noun,A2,једно
2427,sink / раковина,Verb,B1,лавабо
2428,sir / сэр,Noun,A2,господине
2429,sister / сестра,Noun,A1,сестра
2430,sit / СИДЕТЬ,Verb,A1,СИТ
2431,site / Веб-сайт,Noun,A2,сајт
2432,situation / Ситуация,Noun,A1,ситуација
2433,six / шесть,number,A1,шест
2434,sixteen / шестнадцать,number,A1,шеснаест
2435,sixty / шестьдесят,number,A1,шездесет
